id,height,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,PER,FTr,PTSper100,FGAper100,FT%,2P%,3P%,3FGA%,Avg Dist,0-3ft FGA%,3-10ft FGA%,10-16ft FGA%,16-3P,% of Ast 2s,% of Ast 3s,% Corner 3s,cluster,player type
RICHIE FRAHM2003-2004,-0.03125,-0.74137931,-0.534391534,-0.706806283,-0.389830508,-0.912408759,-0.845884413,-0.378947368,0.090425532,-0.750666667,-0.191304348,-0.170731707,0.77,0.375696767,-0.26,0.323741007,0.551020408,-0.698,-0.901504788,-0.917293233,-0.670498084,0.724,0.942,-0.146240877,0,3PT specialist
RICHIE FRAHM2004-2005,-0.03125,-0.646551724,-0.597883598,-0.661431065,-0.457627119,-0.912408759,-0.702276708,-0.394736842,-0.085106383,-0.761333333,-0.330434783,-0.219512195,0.68,-0.070234114,-0.224,0.142857143,0.46122449,-0.628,-0.920656635,-0.973684211,-0.471264368,0.2,0.87,-0.077633442,0,3PT specialist
RICHIE FRAHM2005-2006,-0.03125,-0.905172414,-0.576719577,-0.643979058,-0.796610169,-0.941605839,-0.751313485,-0.373684211,-0.244680851,-0.866666667,-0.352173913,-0.164634146,0.4,0.188405797,-0.342,0.4,0.6,-0.74,-0.972640219,-0.812030075,-0.719029374,0.5,1,0.010320086,0,3PT specialist
RICHIE FRAHM2007-2008,-0.03125,-0.75862069,-0.740740741,-0.710296684,-0.796610169,-1,-0.65323993,-0.289473684,-0.45212766,-0.950666667,-0.443478261,-0.079268293,-1,-0.001114827,-0.44,-0.074074074,0.436734694,-0.704,-0.846785226,-0.65037594,-0.384418902,0.384,1,-0.354395058,3,Role player
REECE GAINES2003-2004,0.03125,-0.793103448,-0.592592593,-0.420593368,-0.457627119,-0.941605839,-0.450087566,-0.442105263,-0.420212766,-0.612,-0.660869565,-0.37195122,0.28,-0.355629877,-0.4,-0.76744186,0.232653061,-0.604,-0.967168263,-0.65037594,0.48403576,-0.272,1,-0.878386046,8,High Usage Guard
REECE GAINES2004-2005,0.03125,-0.948275862,-0.693121693,-0.797556719,-0.525423729,-0.941605839,-0.583187391,-0.426315789,-0.558510638,-0.893333333,-0.586956522,-0.262195122,0.5,-0.19509476,-0.428,-0.44,0.167346939,-0.52,-0.835841313,-0.69924812,-0.131545338,0.076,1,-0.511922664,0,3PT specialist
ALEX GARCIA2004-2005,-0.21875,-0.525862069,-0.756613757,-0.228621291,-0.491525424,-0.912408759,-0.544658494,-0.157894737,-0.29787234,-0.897333333,-0.37826087,0.054878049,0.5,-0.148272018,-0.444,-0.307692308,0.020408163,-0.27,-0.841313269,-0.857142857,-0.509578544,-0.076,0.6,-0.530560782,3,Role player
WILLIE GREEN2003-2004,-0.125,-0.784482759,-0.71957672,-0.507853403,-0.389830508,-0.927007299,-0.541155867,0.263157895,-0.170212766,-0.697333333,0.030434783,0.414634146,0.456,-0.065774805,-0.378,-0.658263305,-0.028571429,-0.418,-0.60875513,-0.537593985,-0.305236271,-0.048,0.894,-0.960684287,6,Ball Dominant Scorer
WILLIE GREEN2004-2005,-0.125,-0.801724138,-0.486772487,-0.452006981,-0.457627119,-0.941605839,-0.523642732,0.015789474,-0.234042553,-0.605333333,-0.195652174,0.091463415,0.552,-0.123745819,-0.428,-0.503546099,0.069387755,-0.442,-0.720930233,-0.627819549,-0.305236271,-0.344,0.666,-0.852019106,8,High Usage Guard
WILLIE GREEN2005-2006,-0.125,-0.931034483,-0.55026455,-0.80104712,-0.762711864,-1,-0.474605954,0.063157895,-0.287234043,-0.898666667,-0.065217391,0.225609756,0.6,-0.146042363,0.052,-0.424242424,0.289795918,-0.758,-0.627906977,-0.657894737,-0.070242656,-0.444,1,-0.736047354,3,Role player
WILLIE GREEN2006-2007,-0.125,-0.767241379,-0.71957672,-0.609075044,-0.457627119,-0.97080292,-0.635726795,0.157894737,-0.196808511,-0.829333333,-0.047826087,0.384146341,0.334,-0.041248606,-0.35,-0.638248848,0.069387755,-0.55,-0.674418605,-0.342105263,-0.231162197,-0.334,0.726,-0.883342608,6,Ball Dominant Scorer
