school,city,region,conference,division
Caldwell,"Caldwell, New Jersey",North East,Central Atlantic Collegiate Conference,NCAA D2
California State Polytechnic – Pomona,"Pomona, California",West Coast,California Collegiate Athletic Association,NCAA D2
California State – Chico,"Chico, California",West Coast,California Collegiate Athletic Association,NCAA D2
California State – Dominguez Hills,"Carson, California",West Coast,California Collegiate Athletic Association,NCAA D2
California State – East Bay,"Hayward, California",West Coast,California Collegiate Athletic Association,NCAA D2
California State – Los Angeles,"Los Angeles, California",West Coast,California Collegiate Athletic Association,NCAA D2
California State – Monterey Bay,"Seaside, California",West Coast,California Collegiate Athletic Association,NCAA D2
CAL STATE SAN BERNARDINO,"San Bernardino, California",West Coast,California Collegiate Athletic Association,NCAA D2
California State – San Marcos,"San Marcos, California",West Coast,California Collegiate Athletic Association,NCAA D2
California State – Stanislaus,"Turlock, California",West Coast,California Collegiate Athletic Association,NCAA D2
California Pennsylvania,"California, Pennsylvania",North East,Pennsylvania State Athletic Conference,NCAA D2
Cameron,"Lawton, Oklahoma",Mid South,Lone Star Conference,NCAA D2
Carson-Newman,"Jefferson City, Tennessee",Mid East,South Atlantic Conference,NCAA D2
Catawba College,"Salisbury, North Carolina",Mid East,South Atlantic Conference,NCAA D2
Cedarville,"Cedarville, Ohio",Great Lakes,Great Midwest Athletic Conference,NCAA D2
Central State,"Wilberforce, Ohio",Great Lakes,Southern Intercollegiate Athletic Conference,NCAA D2
Central Washington,"Ellensburg, Washington",West Coast,Great Northwest Athletic Conference,NCAA D2
Chadron State College,"Chadron, Nebraska",Mid West,Rocky Mountain Athletic Conference,NCAA D2
Chaminade Honolulu,"Honolulu, Hawaii",West Coast,Pacific West Conference,NCAA D2
Chestnut Hill College,"Philadelphia, Pennsylvania",North East,Central Atlantic Collegiate Conference,NCAA D2
Cheyney Pennsylvania,"Cheyney, Pennsylvania",North East,Pennsylvania State Athletic Conference,NCAA D2
Chowan,"Murfreesboro, North Carolina",Mid East,Central Intercollegiate Athletic Association,NCAA D2
Christian Brothers,"Memphis, Tennessee",Mid East,Gulf South Conference,NCAA D2
Claflin,"Orangeburg, South Carolina",South East,Southern Intercollegiate Athletic Conference,NCAA D2
Clarion Pennsylvania,"Clarion, Pennsylvania",North East,Pennsylvania State Athletic Conference,NCAA D2
Clark Atlanta,"Atlanta, Georgia",South East,Southern Intercollegiate Athletic Conference,NCAA D2
Clayton State,"Morrow, Georgia",South East,Peach Belt Conference,NCAA D2
Coker,"Hartsville, South Carolina",South East,South Atlantic Conference,NCAA D2
Colorado Christian,"Lakewood, Colorado",South West,Rocky Mountain Athletic Conference,NCAA D2
Colorado Mesa,"Grand Junction, Colorado",South West,Rocky Mountain Athletic Conference,NCAA D2
Colorado School of Mines,"Golden, Colorado",South West,Rocky Mountain Athletic Conference,NCAA D2
Colorado State – Pueblo,"Pueblo, Colorado",South West,Rocky Mountain Athletic Conference,NCAA D2
Columbus State,"Columbus, Georgia",South East,Peach Belt Conference,NCAA D2
Concord,"Athens, West Virginia",Mid East,Mountain East Conference,NCAA D2
Concordia – Irvine,"Irvine, California",West Coast,Pacific West Conference,NCAA D2
"Concordia, St. Paul – Minnesota","Saint Paul, Minnesota",Mid West,Northern Sun Intercollegiate Conference,NCAA D2
Converse,"Spartanburg, South Carolina",South East,Conference Carolinas,NCAA D2
D'Youville College,"Buffalo, New York",North East,Northeast Conference,NCAA D2
Daemen College,"Amherst, New York",North East,East Coast Conference,NCAA D2
Dallas Baptist,"Dallas, Texas",Mid South,Heartland Conference,NCAA D2
Davenport,"Grand Rapids, Michigan",Great Lakes,Great Lakes Intercollegiate Athletic Conference,NCAA D2
Davis & Elkins College,"Elkins, West Virginia",Mid East,Great Midwest Athletic Conference,NCAA D2
Delta State University,"Cleveland, Mississippi",Mid South,Gulf South Conference,NCAA D2
Dominican College,"Orangeburg, New York",North East,Central Atlantic Collegiate Conference,NCAA D2
